,SO2,CO,O3,PM10,PM25,NO2,pr
298,2.5,0.34,46.0,41.0,20.0,15.0,
299,2.5,0.33,40.0,48.0,20.0,14.0,
300,2.6,0.39,31.0,61.0,26.0,20.0,
301,2.4,0.45,27.0,59.0,23.0,22.0,
302,2.6,0.49,21.0,51.0,27.0,24.0,
303,2.5,0.43,21.0,46.0,29.0,22.0,
304,3.0,0.45,17.0,42.0,32.0,23.0,
305,2.9,0.45,16.0,43.0,30.0,22.0,
306,3.1,0.43,17.0,40.0,25.0,19.0,
307,2.9,0.37,20.0,35.0,21.0,16.0,
308,2.3,0.32,24.0,25.0,19.0,12.0,
309,2.3,0.28,27.0,13.0,19.0,11.0,
310,1.3,0.23,34.0,11.0,16.0,6.3,
311,1.8,0.24,33.0,15.0,17.0,6.5,
312,2.5,0.25,30.0,26.0,19.0,8.1,
313,2.6,0.27,29.0,27.0,13.0,9.9,
314,2.2,0.26,33.0,24.0,11.0,9.2,
315,1.8,0.28,33.0,18.0,12.0,9.2,
316,2.3,0.31,33.0,16.0,12.0,11.0,
317,2.4,0.33,35.0,27.0,25.0,12.0,
318,1.9,0.31,42.0,34.0,15.0,9.0,
319,2.2,0.32,47.0,38.0,11.0,8.9,
320,2.5,0.32,52.0,32.0,12.0,8.8,
321,2.3,0.32,56.0,39.0,19.0,9.0,
322,2.4,0.34,58.0,37.0,24.0,10.0,
323,2.6,0.35,57.0,34.0,20.0,12.0,
324,2.2,0.35,51.0,21.0,23.0,13.0,
325,2.3,0.38,44.0,28.0,20.0,17.0,
326,2.9,0.44,42.0,38.0,31.0,18.0,
327,3.1,0.48,42.0,52.0,35.0,19.0,
328,2.4,0.46,41.0,57.0,38.0,18.0,
329,2.5,0.46,40.0,56.0,34.0,17.0,
330,3.0,0.46,37.0,56.0,29.0,17.0,
331,3.0,0.44,34.0,52.0,27.0,17.0,
332,2.9,0.42,33.0,51.0,30.0,15.0,
333,3.5,0.35,36.0,48.0,35.0,11.0,
334,2.9,0.36,32.0,46.0,31.0,11.0,
335,3.1,0.32,30.0,49.0,29.0,12.0,
336,3.5,0.33,27.0,39.0,25.0,14.0,
337,4.2,0.36,23.0,38.0,27.0,18.0,
338,3.5,0.47,20.0,35.0,29.0,23.0,
339,4.0,0.62,17.0,41.0,27.0,28.0,
340,4.5,0.48,23.0,43.0,24.0,26.0,
341,3.7,0.41,29.0,42.0,27.0,23.0,
342,2.6,0.35,40.0,41.0,22.0,16.0,
343,2.7,0.34,46.0,42.0,27.0,14.0,
344,2.7,0.31,53.0,51.0,20.0,11.0,
345,2.5,0.32,51.0,48.0,24.0,13.0,
346,2.4,0.32,44.0,49.0,20.0,14.0,
347,2.6,0.37,36.0,45.0,24.0,18.0,
348,2.5,0.46,28.0,50.0,31.0,20.0,
349,2.8,0.59,21.0,54.0,27.0,27.0,
350,2.8,0.51,22.0,57.0,30.0,24.0,
351,2.6,0.47,24.0,52.0,25.0,20.0,
352,2.7,0.53,18.0,49.0,27.0,24.0,
353,2.8,0.45,22.0,45.0,25.0,21.0,
354,2.5,0.4,26.0,40.0,23.0,16.0,
355,2.9,0.4,22.0,39.0,26.0,18.0,
356,3.0,0.41,16.0,34.0,25.0,23.0,
357,2.9,0.35,18.0,40.0,21.0,19.0,
358,2.7,0.31,19.0,35.0,19.0,19.0,
359,3.0,0.34,17.0,33.0,20.0,19.0,
360,2.8,0.32,16.0,29.0,24.0,19.0,
361,2.8,0.34,15.0,25.0,23.0,20.0,
362,3.2,0.55,7.5,36.0,20.0,28.0,
363,3.6,0.61,13.0,40.0,20.0,26.0,
364,3.4,0.54,16.0,46.0,19.0,27.0,
365,3.4,0.45,23.0,41.0,26.0,24.0,
366,2.8,0.37,34.0,47.0,26.0,19.0,
367,2.9,0.38,42.0,49.0,31.0,18.0,
368,3.0,0.37,41.0,61.0,29.0,20.0,
369,3.0,0.37,34.0,61.0,29.0,20.0,
370,2.8,0.34,38.0,54.0,30.0,19.0,
371,3.0,0.37,31.0,53.0,27.0,23.0,
372,2.8,0.4,27.0,33.0,21.0,22.0,
373,2.6,0.4,24.0,30.0,20.0,20.0,
374,2.9,0.41,19.0,24.0,11.0,23.0,
375,2.7,0.32,24.0,35.0,16.0,17.0,
376,2.2,0.31,26.0,30.0,10.0,15.0,
377,1.8,0.32,26.0,22.0,13.0,15.0,
378,2.1,0.26,29.0,9.0,13.0,13.0,
379,2.7,0.26,26.0,6.0,13.0,14.0,
380,2.4,0.23,28.0,6.0,18.0,11.0,
381,2.4,0.2,28.0,4.0,12.0,11.0,
382,2.2,0.19,30.0,3.0,3.0,8.9,
383,2.2,0.18,28.0,7.0,10.0,9.0,
384,2.0,0.2,23.0,12.0,8.0,13.0,
385,1.7,0.21,26.0,13.0,9.0,11.0,
386,2.0,0.3,21.0,11.0,5.0,18.0,
387,3.0,0.45,16.0,12.0,11.0,24.0,
388,2.8,0.34,21.0,21.0,19.0,21.0,
389,2.7,0.31,29.0,29.0,17.0,18.0,
390,3.0,0.41,27.0,40.0,17.0,23.0,
391,2.5,0.4,39.0,44.0,8.0,19.0,
392,2.5,0.4,44.0,44.0,8.0,19.0,
393,1.7,0.32,44.0,46.0,8.0,17.0,
394,1.8,0.29,44.0,44.0,8.0,15.0,
395,1.7,0.32,44.0,45.0,8.0,16.0,
396,1.7,0.43,44.0,43.0,10.0,23.0,
397,1.5,0.46,25.0,40.0,15.0,22.0,
398,1.5,0.44,25.0,27.0,22.0,20.0,
399,1.5,0.41,26.0,28.0,26.0,18.0,
400,1.4,0.4,28.0,30.0,24.0,16.0,
401,1.6,0.4,28.0,35.0,22.0,16.0,
402,1.3,0.34,34.0,31.0,20.0,11.0,
403,1.9,0.32,35.0,17.0,19.0,10.0,
404,1.4,0.28,37.0,20.0,13.0,7.9,
405,1.6,0.28,37.0,19.0,16.0,8.0,
406,1.6,0.27,38.0,29.0,11.0,8.1,
407,1.8,0.23,40.0,23.0,11.0,7.8,
408,1.5,0.22,39.0,21.0,13.0,8.2,
409,1.5,0.23,38.0,12.0,10.0,8.7,
410,1.6,0.31,36.0,9.0,15.0,12.0,
411,1.6,0.31,39.0,17.0,12.0,10.0,
