,SO2,CO,O3,PM10,PM25,NO2,pr
5636,4.3,0.89,28.0,57.0,28.0,19.9,
5637,3.8,0.84,43.0,52.0,29.0,12.9,
5638,6.1,0.72,40.0,53.0,23.0,13.7,
5639,2.4,0.55,41.0,59.0,29.0,11.9,
5640,1.8,0.5,42.0,51.0,29.0,9.9,
5641,2.3,0.64,37.0,54.0,27.0,15.8,
5642,2.4,0.81,35.0,55.0,28.0,20.5,
5643,3.7,1.08,44.0,55.0,32.0,23.1,
5644,3.6,1.0,59.0,58.0,30.0,21.7,
5645,4.2,0.75,76.0,65.0,35.0,16.9,
5646,3.8,0.69,90.0,62.0,34.0,15.2,
5647,3.6,0.68,100.0,84.0,40.0,15.6,
5648,3.4,0.68,106.0,70.0,35.0,15.6,
5649,2.7,0.54,91.0,57.0,27.0,14.9,
5650,1.9,0.53,78.0,51.0,26.0,13.8,
5651,1.5,0.54,61.0,51.0,20.0,16.6,
5652,1.7,0.59,57.0,51.0,28.0,17.9,
5653,1.4,0.75,51.0,46.0,26.0,21.5,
5654,1.5,0.78,35.0,39.0,20.0,24.0,
5655,1.5,0.74,27.0,27.0,15.0,20.4,
5656,1.3,0.72,22.0,30.0,11.0,20.5,
5657,1.5,0.63,22.0,25.0,11.0,17.8,
5658,1.8,0.92,14.0,32.0,10.0,23.8,
5659,2.2,0.8,17.0,33.0,19.0,17.6,
5660,2.4,0.69,24.0,29.0,12.0,10.8,
5661,1.4,0.61,25.0,22.0,9.0,10.3,
5662,1.6,0.64,20.0,20.0,8.0,13.1,
5663,2.8,0.68,17.0,30.0,14.0,15.3,
5664,2.5,0.68,18.0,30.0,11.0,14.2,
5665,1.8,0.58,19.0,21.0,8.0,13.7,
5666,1.7,0.64,19.0,18.0,5.0,13.0,
5667,1.5,0.8,24.0,16.0,8.0,13.3,
5668,1.3,0.84,30.0,17.0,5.0,15.8,
5669,1.2,0.69,30.0,18.0,8.0,17.2,
5670,1.3,0.67,40.0,18.0,7.0,13.0,
5671,1.3,0.59,51.0,18.0,4.0,9.8,
5672,1.3,0.54,56.0,27.0,10.0,8.3,
5673,1.3,0.52,57.0,28.0,7.0,9.4,
5674,1.2,0.5,55.0,31.0,7.0,9.2,
5675,1.3,0.51,56.0,32.0,10.0,10.1,
5676,1.3,0.53,50.0,22.0,10.0,12.7,
5677,1.3,0.66,45.0,17.0,8.0,15.5,
5678,1.3,0.65,42.0,19.0,8.0,14.8,
5679,1.6,0.68,35.0,19.0,9.0,18.6,
5680,1.6,0.59,37.0,19.0,5.0,13.4,
5681,1.5,0.61,35.0,18.0,7.0,14.3,
5682,1.6,0.57,35.0,18.0,8.0,12.9,
5683,1.4,0.52,34.0,16.0,9.0,11.3,
5684,1.2,0.62,34.0,18.0,10.0,9.5,
