,SO2,O3,PM10,PM25,NO2,pr
5574,3.0,53,23.0,23.0,6.6,
5575,3.2,49,23.0,22.0,8.3,
5576,3.4,47,23.0,19.0,8.3,
5577,3.1,43,23.0,18.0,9.3,
5578,3.7,40,23.0,17.0,8.7,
5579,3.7,36,23.0,17.0,11.4,
5580,3.9,31,23.0,18.0,13.3,
5581,4.0,27,23.0,19.0,15.2,
5582,4.4,24,23.0,21.0,11.9,
5583,4.1,21,23.0,23.0,12.2,
5584,4.2,19,23.0,25.0,12.5,
5585,4.2,16,23.0,27.0,17.4,
5586,4.5,16,23.0,29.0,12.9,
5587,5.9,17,23.0,30.0,13.5,
5588,4.7,20,23.0,32.0,14.4,
5589,4.7,20,23.0,32.0,14.4,
5590,4.7,30,23.0,29.0,14.4,
5591,5.6,36,23.0,27.0,7.4,
5592,5.5,42,23.0,26.0,5.2,
5593,5.5,42,23.0,26.0,5.2,
5594,1.7,51,23.0,22.0,6.6,
5595,5.5,53,23.0,20.0,5.9,
5596,5.6,53,23.0,18.0,8.2,
5597,5.8,52,23.0,17.0,6.9,
5598,5.8,49,23.0,15.0,7.6,
5599,5.5,46,21.0,14.0,4.8,
5600,4.9,43,23.0,14.0,8.6,
5601,4.9,40,24.0,14.0,9.3,
5602,5.8,37,26.0,15.0,9.2,
5603,6.4,34,28.0,15.0,13.4,
5604,6.4,29,29.0,15.0,20.4,
5605,7.3,26,30.0,16.0,17.8,
5606,7.0,23,33.0,18.0,15.3,
5607,12.7,20,34.0,20.0,24.1,
5608,7.5,18,38.0,23.0,16.4,
5609,9.0,15,38.0,24.0,18.4,
5610,7.5,15,38.0,24.0,15.4,
5611,7.5,18,41.0,25.0,13.5,
5612,7.5,18,41.0,25.0,13.5,
5613,7.5,18,41.0,25.0,13.5,
5614,11.2,31,45.0,33.0,21.8,
5615,10.4,37,46.0,35.0,16.9,
5616,7.8,41,48.0,38.0,11.8,
5617,7.8,46,46.0,35.0,10.9,
5618,8.1,50,42.0,31.0,11.0,
5619,6.9,51,40.0,28.0,11.3,
5620,6.5,53,36.0,25.0,9.1,
5621,6.0,53,34.0,24.0,6.8,
5622,5.2,52,32.0,22.0,4.6,
5623,5.0,50,30.0,21.0,8.1,
5624,4.4,48,28.0,20.0,13.3,
5625,6.3,45,28.0,20.0,11.7,
5626,5.8,41,27.0,19.0,13.2,
5627,5.2,36,26.0,17.0,12.0,
5628,5.8,31,24.0,16.0,10.7,
5629,5.5,27,22.0,15.0,8.8,
5630,5.4,23,20.0,14.0,8.6,
5631,8.5,19,18.0,13.0,17.3,
5632,6.0,15,18.0,13.0,15.7,
5633,5.5,14,18.0,13.0,13.0,
5634,5.9,14,18.0,13.0,10.8,
5635,8.5,14,18.0,13.0,12.5,
5636,6.8,16,18.0,14.0,10.2,
5637,7.0,18,19.0,13.0,7.8,
5638,7.9,20,20.0,13.0,11.4,
5639,7.3,24,22.0,12.0,8.3,
5640,6.3,27,22.0,12.0,5.6,
5641,6.4,30,22.0,12.0,5.6,
5642,6.4,33,22.0,12.0,5.1,
5643,5.6,36,24.0,13.0,5.6,
5644,5.0,38,27.0,14.0,7.1,
5645,5.2,38,28.0,14.0,7.4,
5646,5.0,40,28.0,15.0,5.3,
5647,4.7,42,28.0,14.0,4.7,
5648,4.7,43,49.0,13.0,4.9,
5649,5.1,43,49.0,14.0,7.3,
5650,5.4,43,51.0,16.0,7.1,
5651,5.4,42,52.0,18.0,7.4,
5652,5.9,41,38.0,20.0,5.1,
5653,5.5,41,39.0,21.0,3.7,
5654,5.6,41,39.0,20.0,4.1,
5655,6.6,40,38.0,18.0,4.3,
5656,5.9,36,36.0,17.0,11.0,
5657,5.8,35,34.0,17.0,10.7,
5658,5.4,36,34.0,17.0,7.4,
5659,5.1,36,32.0,17.0,6.4,
5660,5.2,36,28.0,16.0,6.4,
5661,5.2,36,27.0,15.0,6.4,
5662,5.2,38,26.0,14.0,6.4,
5663,5.2,43,26.0,14.0,6.4,
5664,5.2,47,26.0,14.0,6.4,
5665,5.2,50,26.0,14.0,6.4,
5666,2.4,47,39.0,13.0,4.3,
5667,2.9,46,36.0,12.0,5.8,
5668,3.0,47,35.0,13.0,6.6,
