,SO2,O3,PM10,PM25,NO2,pr
246,3.1,40,52.0,40.0,12.7,
247,2.6,40,50.0,39.0,13.7,
248,2.0,40,49.0,39.0,12.7,
249,1.6,40,48.0,38.0,13.7,
250,1.6,40,48.0,37.0,17.3,
251,2.2,39,47.0,36.0,18.8,
252,1.6,41,46.0,36.0,11.0,
253,1.3,43,44.0,35.0,8.9,
254,2.3,45,44.0,34.0,8.1,
255,2.1,48,44.0,33.0,7.4,
256,2.2,51,44.0,34.0,8.1,
257,2.6,53,46.0,34.0,8.1,
258,3.0,55,46.0,33.0,11.3,
259,2.3,57,48.0,33.0,12.0,
260,2.1,57,48.0,33.0,14.2,
261,1.6,55,48.0,31.0,16.4,
262,2.2,52,47.0,31.0,15.8,
263,2.0,49,45.0,30.0,15.7,
264,2.0,46,43.0,29.0,15.7,
265,2.1,43,41.0,29.0,19.4,
266,2.1,40,40.0,28.0,18.8,
267,2.2,38,40.0,28.0,20.5,
268,3.7,37,38.0,28.0,19.6,
269,2.8,36,36.0,28.0,19.3,
270,2.5,35,35.0,28.0,16.7,
271,2.1,34,34.0,28.0,12.3,
272,1.5,33,33.0,27.0,12.7,
273,1.5,34,33.0,27.0,16.0,
274,1.7,34,32.0,25.0,16.0,
275,1.7,35,32.0,25.0,12.5,
276,2.7,36,33.0,24.0,12.0,
277,1.8,39,34.0,25.0,10.1,
278,1.8,43,35.0,25.0,8.3,
279,2.1,46,36.0,26.0,7.8,
280,2.1,50,36.0,26.0,8.9,
281,1.7,54,39.0,26.0,10.3,
282,0.6,56,40.0,26.0,10.8,
283,1.5,58,40.0,27.0,12.4,
284,0.8,57,42.0,28.0,14.7,
285,1.0,55,40.0,28.0,18.6,
286,0.8,52,40.0,28.0,17.2,
287,0.8,48,38.0,27.0,17.4,
288,0.8,44,37.0,26.0,17.4,
289,1.1,41,36.0,26.0,16.5,
290,1.2,37,36.0,26.0,19.3,
291,2.0,34,36.0,25.0,21.4,
292,4.1,33,34.0,26.0,18.5,
293,2.1,32,32.0,26.0,11.0,
294,1.6,32,30.0,25.0,11.0,
295,1.6,32,28.0,24.0,18.0,
296,2.0,31,26.0,23.0,23.1,
297,1.7,29,26.0,22.0,27.6,
298,1.0,29,26.0,22.0,16.2,
299,1.1,30,26.0,22.0,13.2,
300,1.1,32,26.0,22.0,7.8,
301,1.7,35,28.0,22.0,7.6,
302,1.8,38,28.0,22.0,5.8,
303,1.5,42,30.0,23.0,4.4,
304,1.5,47,30.0,23.0,4.4,
305,1.5,51,35.0,24.0,9.3,
306,1.5,55,40.0,26.0,8.9,
307,1.5,57,43.0,27.0,13.7,
308,2.8,56,43.0,27.0,17.8,
309,3.3,54,40.0,28.0,20.4,
310,2.6,51,40.0,27.0,20.6,
311,2.3,47,40.0,27.0,20.0,
312,2.8,44,38.0,29.0,19.5,
313,2.7,40,38.0,29.0,17.6,
314,2.2,38,38.0,30.0,15.4,
315,2.3,36,38.0,30.0,14.3,
316,4.4,35,38.0,29.0,13.0,
317,3.5,36,38.0,28.0,11.2,
318,3.7,37,37.0,28.0,9.9,
319,3.2,38,35.0,27.0,9.9,
320,2.7,40,35.0,27.0,9.3,
321,2.6,42,34.0,26.0,10.5,
322,2.6,43,34.0,25.0,10.2,
323,2.7,45,33.0,25.0,8.4,
324,2.8,47,34.0,24.0,8.9,
325,3.2,48,34.0,24.0,9.6,
326,3.1,50,36.0,25.0,8.1,
327,3.3,52,36.0,25.0,6.3,
328,3.5,54,38.0,26.0,6.4,
329,3.2,55,39.0,27.0,6.4,
330,3.2,56,42.0,28.0,7.1,
331,3.2,56,45.0,29.0,9.2,
332,3.5,56,46.0,29.0,13.7,
333,3.3,54,46.0,29.0,13.0,
334,3.6,53,46.0,29.0,14.3,
335,3.7,51,45.0,30.0,11.0,
336,3.5,49,44.0,30.0,12.0,
337,3.5,48,44.0,31.0,10.4,
338,3.5,47,44.0,32.0,13.0,
339,3.1,46,44.0,32.0,13.0,
340,4.7,45,46.0,32.0,10.3,
341,3.7,45,46.0,32.0,9.2,
342,3.5,46,46.0,31.0,8.2,
343,3.7,46,44.0,31.0,10.3,
344,3.6,46,42.0,29.0,10.2,
345,3.6,45,40.0,29.0,12.3,
346,3.1,44,40.0,29.0,10.3,
347,2.8,44,40.0,29.0,10.7,
348,2.5,44,41.0,30.0,7.7,
349,2.6,44,40.0,30.0,7.7,
350,2.6,44,38.0,30.0,7.4,
351,3.0,45,39.0,31.0,7.7,
352,2.7,47,38.0,31.0,7.7,
353,2.6,48,41.0,33.0,9.6,
354,2.6,50,42.0,34.0,8.1,
355,2.7,52,42.0,34.0,9.1,
356,3.0,53,44.0,34.0,15.9,
357,3.1,53,44.0,34.0,14.0,
358,3.3,52,46.0,36.0,15.4,
359,2.6,52,46.0,37.0,14.3,
360,2.6,51,44.0,38.0,15.0,
361,2.6,50,42.0,39.0,13.8,
362,2.5,50,41.0,39.0,14.7,
363,2.7,48,40.0,38.0,16.3,
364,3.8,48,38.0,37.0,14.8,
365,3.2,49,38.0,36.0,13.4,
366,3.2,49,38.0,36.0,12.4,
367,3.0,49,40.0,37.0,13.8,
368,3.1,48,42.0,37.0,14.4,
369,3.7,47,42.0,37.0,14.4,
370,3.2,46,41.0,36.0,11.3,
371,2.7,46,40.0,35.0,8.4,
372,2.2,46,40.0,34.0,7.2,
373,2.2,47,41.0,33.0,6.8,
374,2.6,48,42.0,33.0,6.8,
375,2.8,51,44.0,33.0,7.4,
376,2.7,53,46.0,33.0,7.7,
377,2.7,56,47.0,34.0,7.9,
378,2.8,59,48.0,34.0,9.1,
379,2.6,60,48.0,33.0,9.9,
380,2.1,60,48.0,34.0,9.4,
381,1.8,59,47.0,33.0,8.7,
382,2.1,58,46.0,32.0,9.2,
383,2.2,56,44.0,32.0,9.4,
384,2.1,54,44.0,32.0,10.3,
385,2.2,51,42.0,32.0,15.5,
386,2.7,50,42.0,32.0,11.3,
387,2.3,50,45.0,33.0,10.7,
388,3.9,51,48.0,37.0,14.0,
389,3.3,51,52.0,43.0,14.9,
390,3.2,50,56.0,47.0,12.8,
391,3.3,50,58.0,50.0,12.5,
392,2.8,49,58.0,49.0,13.2,
393,3.0,48,56.0,47.0,15.0,
394,3.0,45,54.0,44.0,14.8,
395,2.3,42,52.0,41.0,11.4,
396,2.2,40,52.0,39.0,8.2,
397,2.5,39,52.0,37.0,7.2,
398,2.5,38,52.0,36.0,6.9,
399,2.5,38,52.0,36.0,6.9,
400,2.3,38,52.0,34.0,7.1,
401,2.3,40,49.0,31.0,7.8,
402,2.5,42,48.0,30.0,8.9,
403,2.3,42,47.0,29.0,10.2,
404,2.3,41,44.0,27.0,12.9,
405,2.2,40,42.0,26.0,14.8,
406,2.3,38,40.0,25.0,15.7,
407,2.3,35,38.0,24.0,15.4,
408,2.2,33,35.0,24.0,15.4,
409,2.6,30,32.0,24.0,16.4,
410,2.5,29,28.0,23.0,16.0,
411,2.6,27,25.0,23.0,18.9,
412,4.1,25,24.0,22.0,20.3,
413,3.5,24,24.0,23.0,22.1,
414,3.8,23,23.0,24.0,20.4,
415,4.4,22,23.0,25.0,17.2,
416,3.0,22,22.0,25.0,14.3,
417,3.0,21,20.0,24.0,20.4,
418,4.2,19,20.0,23.0,26.0,
