,SO2,CO,O3,PM10,PM25,NO2,pr
193,1.2,0.38,56.0,49.0,19.0,7.4,
194,1.2,0.34,56.0,48.0,17.0,6.2,
195,1.1,0.35,56.0,46.0,16.0,6.7,
196,1.1,0.33,56.0,46.0,15.0,8.8,
197,1.3,0.32,56.0,44.0,14.0,8.9,
198,1.3,0.3,55.0,43.0,14.0,7.3,
199,1.6,0.29,54.0,42.0,14.0,7.2,
200,1.4,0.29,54.0,42.0,15.0,7.2,
201,1.4,0.28,53.0,42.0,15.0,6.6,
202,1.3,0.32,52.0,42.0,16.0,6.9,
203,1.2,0.31,52.0,42.0,17.0,7.4,
204,1.2,0.33,52.0,44.0,17.0,8.7,
205,1.5,0.35,54.0,44.0,18.0,10.0,
206,1.5,0.36,55.0,46.0,19.0,10.3,
207,1.5,0.38,57.0,48.0,20.0,9.2,
208,1.4,0.38,59.0,49.0,22.0,8.2,
209,1.2,0.38,62.0,50.0,23.0,7.6,
210,1.7,0.38,63.0,51.0,24.0,9.8,
211,1.6,0.38,65.0,52.0,25.0,12.4,
212,1.5,0.37,65.0,53.0,27.0,13.5,
213,1.6,0.37,65.0,54.0,29.0,12.9,
214,1.7,0.36,64.0,55.0,31.0,14.5,
215,1.5,0.36,62.0,55.0,32.0,12.2,
216,1.4,0.37,61.0,55.0,33.0,8.9,
217,1.4,0.38,60.0,55.0,33.0,8.7,
218,1.4,0.39,59.0,54.0,32.0,7.7,
219,1.3,0.4,59.0,54.0,32.0,7.8,
220,1.3,0.4,58.0,54.0,32.0,9.6,
221,1.9,0.39,58.0,54.0,32.0,9.2,
222,1.8,0.38,58.0,54.0,32.0,9.0,
223,1.3,0.36,58.0,54.0,33.0,9.2,
224,1.5,0.35,57.0,54.0,32.0,9.2,
225,1.8,0.35,55.0,54.0,33.0,11.5,
226,2.5,0.35,53.0,56.0,34.0,14.9,
227,2.3,0.36,51.0,58.0,34.0,16.1,
228,2.0,0.37,51.0,58.0,34.0,14.8,
229,2.2,0.39,52.0,60.0,34.0,13.9,
230,2.3,0.41,54.0,64.0,37.0,12.0,
231,2.1,0.42,56.0,68.0,39.0,10.6,
232,2.0,0.42,58.0,72.0,42.0,10.7,
