,SO2,CO,O3,PM10,PM25,NO2,NO,pr
3527,1.8,0.43,83.0,43.0,19.0,14.0,1.8,
3528,2.5,0.31,82.0,45.0,19.0,13.0,1.7,
3529,1.8,0.24,49.0,49.0,15.0,12.0,1.7,
3530,1.8,0.35,50.0,32.0,14.0,15.0,1.9,
3531,3.2,0.4,50.0,24.0,13.0,18.0,1.7,
3532,2.8,0.3,36.0,23.0,13.0,14.0,1.8,
3533,1.8,0.27,17.0,34.0,19.0,14.0,4.0,
3534,3.1,0.66,7.6,31.0,20.0,23.0,9.1,
3535,2.8,0.52,8.4,29.0,14.0,21.0,4.4,
3536,2.1,0.43,23.0,27.0,14.0,16.0,2.1,
3537,2.6,0.35,23.0,32.0,6.0,12.0,1.8,
3538,1.9,0.27,25.0,30.0,6.0,9.1,1.2,
3539,1.5,0.22,23.0,24.0,6.0,8.5,1.2,
3540,1.4,0.21,19.0,22.0,7.0,8.8,1.2,
3541,1.1,0.18,18.0,16.0,7.0,7.3,1.2,
3542,2.0,0.19,15.0,14.0,10.0,6.8,1.6,
3543,1.6,0.17,11.0,14.0,4.0,7.1,1.3,
3544,1.6,0.17,11.0,21.0,10.0,6.1,0.1,
3545,1.6,0.14,10.0,27.0,8.0,6.5,-0.2,
3546,1.8,0.23,4.3,27.0,8.0,9.9,1.4,
3547,2.8,0.32,5.8,30.0,3.0,9.0,5.3,
3548,2.0,0.49,7.5,32.0,5.0,11.0,9.3,
3549,2.8,0.51,14.0,30.0,5.0,15.0,8.9,
3550,2.8,0.39,30.0,29.0,14.0,14.0,3.2,
3551,1.8,0.2,40.0,23.0,13.0,7.4,0.8,
3552,2.4,0.2,49.0,27.0,11.0,6.7,0.8,
3553,2.1,0.19,43.0,25.0,5.0,7.2,0.5,
3554,2.1,0.17,44.0,23.0,9.0,8.1,-0.3,
3555,2.2,0.22,16.0,23.0,7.0,16.0,4.4,
3556,2.4,0.3,14.0,20.0,8.0,20.0,5.3,
3557,2.9,0.41,7.7,25.0,4.0,22.0,8.9,
3558,2.0,0.39,13.0,24.0,10.0,15.0,3.7,
3559,2.2,0.5,6.7,24.0,5.0,21.0,5.7,
3560,1.7,0.34,9.2,19.0,14.0,14.0,2.7,
3561,1.7,0.3,9.2,13.0,10.0,12.0,1.5,
3562,2.2,0.42,3.2,16.0,14.0,19.0,2.9,
3563,2.7,0.43,2.8,19.0,3.0,18.0,4.2,
3564,2.1,0.31,4.3,21.0,3.0,12.0,0.8,
3565,1.7,0.22,4.4,23.0,3.0,9.6,0.1,
3566,1.9,0.18,5.1,22.0,4.0,7.8,-0.2,
3567,1.5,0.16,3.6,23.0,10.0,7.8,0.1,
3568,1.3,0.09,5.1,17.0,10.0,6.4,1.7,
3569,1.3,0.16,2.6,15.0,5.0,7.6,2.8,
3570,1.4,0.22,2.2,14.0,5.0,8.4,5.6,
3571,1.8,0.37,3.3,14.0,5.0,9.3,9.8,
3572,5.7,0.49,6.6,13.0,7.0,12.0,14.0,
3573,3.7,0.4,19.0,27.0,11.0,13.0,8.4,
3574,2.3,0.32,33.0,39.0,11.0,10.0,3.9,
3575,2.7,0.24,43.0,41.0,9.0,8.3,2.8,
3576,3.1,0.3,53.0,37.0,9.0,10.0,3.4,
3577,3.0,0.25,55.0,31.0,19.0,7.9,2.3,
3578,2.6,0.19,46.0,32.0,18.0,8.7,2.9,
3579,1.9,0.2,39.0,23.0,18.0,9.8,3.0,
3580,2.3,0.16,33.0,23.0,10.0,6.9,3.3,
3581,1.9,0.24,19.0,22.0,10.0,12.0,4.0,
3582,1.5,0.32,17.0,28.0,5.0,13.0,3.0,
3583,1.7,0.47,9.4,24.0,8.0,19.0,3.4,
3584,3.0,0.44,4.6,30.0,11.0,21.0,7.0,
3585,1.6,0.4,5.0,24.0,11.0,18.0,4.0,
3586,1.8,0.54,1.4,25.0,10.0,20.0,7.6,
