,SO2,CO,PM10,PM25,NO2,pr
277,3.6,0.41,43.0,13.0,9.7,
278,3.2,0.43,44.0,13.0,10.5,
279,3.1,0.44,46.0,13.0,8.2,
280,2.9,0.44,48.0,14.0,6.5,
281,3.0,0.45,50.0,14.0,8.9,
282,3.1,0.44,50.0,15.0,8.8,
283,3.1,0.44,51.0,15.0,9.3,
284,2.5,0.45,51.0,14.0,11.3,
285,2.6,0.46,50.0,14.0,12.8,
286,2.5,0.45,48.0,14.0,9.8,
287,3.0,0.46,46.0,13.0,10.1,
288,2.9,0.46,46.0,13.0,9.9,
289,3.0,0.45,44.0,14.0,13.5,
290,3.3,0.45,44.0,14.0,10.5,
291,2.7,0.44,42.0,13.0,6.7,
292,2.7,0.41,40.0,13.0,6.3,
293,2.6,0.39,39.0,12.0,6.2,
294,3.0,0.38,36.0,11.0,8.3,
295,2.5,0.34,36.0,11.0,4.7,
296,2.5,0.33,35.0,11.0,5.3,
297,3.3,0.32,34.0,10.0,10.2,
298,3.6,0.34,34.0,10.0,13.4,
299,3.5,0.35,34.0,11.0,9.7,
300,4.5,0.36,36.0,10.0,9.9,
301,4.7,0.38,36.0,10.0,8.3,
302,3.5,0.39,38.0,10.0,9.1,
303,2.8,0.41,38.0,10.0,7.6,
304,2.6,0.43,40.0,11.0,7.4,
305,2.5,0.43,40.0,12.0,7.0,
306,2.6,0.41,42.0,12.0,8.6,
307,3.0,0.43,45.0,12.0,9.5,
308,2.7,0.44,46.0,11.0,11.8,
309,2.9,0.44,46.0,11.0,9.4,
310,3.4,0.45,46.0,13.0,14.0,
311,3.3,0.48,44.0,13.0,16.7,
312,4.0,0.5,44.0,14.0,18.2,
313,3.6,0.51,45.0,20.0,17.5,
314,3.5,0.54,45.0,20.0,17.6,
315,3.5,0.52,46.0,21.0,15.8,
316,3.0,0.51,44.0,20.0,11.1,
317,2.5,0.51,44.0,15.0,7.7,
318,2.9,0.49,42.0,14.0,8.6,
319,2.7,0.44,40.0,13.0,6.0,
320,2.6,0.4,40.0,14.0,4.9,
321,2.5,0.38,38.0,14.0,6.8,
322,2.7,0.34,38.0,14.0,10.0,
323,2.7,0.33,36.0,14.0,9.7,
324,2.9,0.31,36.0,13.0,8.0,
325,2.2,0.3,37.0,11.0,7.1,
326,2.1,0.3,39.0,11.0,5.3,
327,1.9,0.31,40.0,11.0,5.2,
328,2.1,0.31,40.0,12.0,4.6,
329,1.9,0.31,42.0,15.0,4.5,
330,1.9,0.31,41.0,28.0,6.9,
331,1.9,0.32,44.0,33.0,8.7,
332,2.2,0.34,46.0,34.0,7.7,
333,2.4,0.34,48.0,33.0,6.5,
334,2.1,0.35,49.0,24.0,6.0,
335,2.1,0.36,50.0,22.0,6.3,
336,2.2,0.36,55.0,22.0,8.2,
337,2.0,0.36,56.0,23.0,8.6,
338,2.3,0.36,56.0,23.0,5.8,
339,2.6,0.35,56.0,23.0,5.7,
340,3.0,0.34,51.0,22.0,5.7,
341,3.6,0.34,50.0,21.0,5.6,
342,3.5,0.32,48.0,19.0,6.5,
343,3.4,0.29,47.0,18.0,5.8,
344,3.0,0.27,46.0,18.0,5.7,
345,3.5,0.27,46.0,18.0,7.6,
346,3.7,0.27,46.0,18.0,8.7,
347,3.4,0.29,47.0,18.0,9.9,
348,3.5,0.3,48.0,19.0,9.3,
349,4.0,0.31,50.0,20.0,11.8,
350,3.4,0.33,50.0,21.0,9.2,
351,3.5,0.35,52.0,22.0,7.4,
352,3.4,0.36,52.0,23.0,8.1,
353,3.5,0.36,52.0,23.0,9.0,
354,3.5,0.38,54.0,24.0,9.4,
355,3.2,0.38,54.0,25.0,10.8,
356,3.2,0.38,56.0,25.0,11.0,
357,3.1,0.38,57.0,25.0,10.5,
358,3.3,0.38,58.0,25.0,14.2,
359,3.0,0.39,58.0,25.0,11.7,
360,3.2,0.4,57.0,27.0,11.6,
361,2.6,0.4,56.0,27.0,7.5,
362,2.9,0.4,54.0,26.0,7.8,
363,3.0,0.4,52.0,25.0,6.1,
364,2.8,0.4,50.0,23.0,6.5,
365,3.2,0.4,48.0,22.0,7.2,
366,3.8,0.4,49.0,22.0,9.3,
367,3.9,0.39,50.0,22.0,8.0,
368,3.6,0.39,52.0,23.0,6.9,
369,3.5,0.4,52.0,24.0,9.2,
370,3.4,0.4,53.0,25.0,8.0,
371,3.6,0.4,53.0,25.0,6.2,
372,3.7,0.4,52.0,23.0,5.9,
373,3.4,0.4,54.0,22.0,6.2,
374,3.7,0.4,56.0,22.0,7.2,
375,3.2,0.41,60.0,21.0,7.0,
376,3.2,0.41,64.0,23.0,7.0,
377,3.4,0.41,68.0,26.0,6.1,
378,3.1,0.41,72.0,27.0,6.3,
379,3.2,0.4,74.0,27.0,6.5,
380,3.0,0.4,74.0,28.0,8.2,
381,2.9,0.4,73.0,26.0,8.6,
382,2.6,0.39,73.0,27.0,7.4,
383,2.7,0.39,74.0,26.0,7.0,
384,2.9,0.39,73.0,24.0,6.5,
385,2.9,0.39,74.0,25.0,6.2,
386,3.2,0.43,72.0,25.0,6.7,
387,3.3,0.49,76.0,31.0,6.6,
388,3.0,0.53,82.0,37.0,5.6,
389,2.9,0.55,85.0,40.0,5.4,
390,2.7,0.58,87.0,42.0,4.9,
391,2.6,0.56,84.0,40.0,4.9,
392,2.9,0.55,79.0,36.0,5.0,
393,2.7,0.54,74.0,33.0,5.6,
394,2.8,0.49,69.0,29.0,6.8,
395,2.9,0.42,64.0,26.0,6.7,
396,2.9,0.38,62.0,24.0,7.0,
397,2.7,0.34,65.0,24.0,7.8,
398,2.9,0.31,68.0,24.0,7.5,
399,2.6,0.3,70.0,24.0,6.8,
400,2.8,0.3,74.0,32.0,7.4,
401,2.6,0.3,72.0,30.0,7.2,
402,2.9,0.3,70.0,30.0,9.0,
403,2.6,0.3,68.0,28.0,10.2,
404,2.6,0.31,64.0,24.0,12.8,
405,2.6,0.31,64.0,24.0,12.8,
406,2.6,0.31,64.0,24.0,12.8,
407,2.9,0.31,60.0,22.0,10.6,
408,3.0,0.32,53.0,20.0,7.4,
409,2.9,0.31,50.0,19.0,6.7,
410,3.1,0.3,46.0,18.0,7.2,
411,3.3,0.29,42.0,16.0,5.7,
412,2.6,0.26,38.0,11.0,4.1,
413,3.1,0.26,36.0,10.0,4.8,
414,3.1,0.26,34.0,9.0,5.2,
415,3.0,0.25,32.0,8.0,5.8,
416,3.3,0.25,30.0,7.0,7.7,
417,3.4,0.26,27.0,7.0,9.4,
418,2.8,0.31,25.0,7.0,19.3,
419,3.0,0.34,24.0,7.0,9.3,
420,3.0,0.34,24.0,7.0,9.3,
421,3.3,0.36,26.0,7.0,8.4,
422,3.0,0.37,27.0,6.0,11.0,
423,2.8,0.4,30.0,7.0,10.5,
424,3.2,0.41,32.0,8.0,9.7,
425,3.1,0.42,36.0,9.0,10.1,
426,3.2,0.4,39.0,10.0,10.5,
427,3.0,0.4,38.0,11.0,11.4,
428,3.2,0.41,40.0,11.0,13.0,
429,3.1,0.41,38.0,10.0,15.6,
430,3.2,0.41,37.0,9.0,15.5,
431,2.6,0.43,37.0,8.0,15.0,
432,2.6,0.44,35.0,9.0,14.6,
433,2.9,0.44,35.0,9.0,12.3,
434,3.1,0.44,34.0,10.0,15.1,
435,3.5,0.44,32.0,11.0,16.3,
436,3.4,0.44,33.0,10.0,17.9,
437,4.1,0.44,32.0,10.0,17.7,
438,3.8,0.44,32.0,9.0,19.4,
439,3.8,0.44,32.0,9.0,19.4,
440,3.8,0.44,32.0,9.0,19.4,
441,4.6,0.45,36.0,12.0,26.1,
442,4.0,0.5,37.0,14.0,20.2,
443,4.0,0.5,37.0,14.0,20.2,
444,4.0,0.5,37.0,14.0,20.2,
445,4.0,0.5,37.0,14.0,20.2,
446,3.7,0.53,42.0,14.0,7.9,
447,3.2,0.54,42.0,12.0,6.8,
448,3.2,0.52,42.0,12.0,5.8,
449,3.1,0.49,42.0,12.0,7.4,
450,3.1,0.44,44.0,12.0,8.0,
451,3.2,0.43,46.0,12.0,8.7,
452,3.4,0.46,48.0,11.0,14.9,
453,3.6,0.49,50.0,12.0,13.6,
454,3.7,0.5,49.0,12.0,12.3,
455,4.2,0.54,48.0,11.0,16.0,
456,4.4,0.56,48.0,12.0,18.7,
457,4.9,0.59,48.0,12.0,18.5,
458,4.9,0.61,49.0,13.0,19.2,
459,4.8,0.61,52.0,14.0,17.7,
460,4.9,0.59,52.0,15.0,12.8,
461,3.0,0.56,52.0,16.0,7.6,
462,2.9,0.55,50.0,16.0,7.7,
463,4.2,0.5,46.0,16.0,16.5,
464,4.1,0.49,46.0,17.0,15.9,
465,3.9,0.49,44.0,17.0,14.4,
466,3.9,0.48,44.0,17.0,11.8,
467,4.3,0.48,46.0,17.0,11.8,
468,4.2,0.48,46.0,16.0,12.8,
469,3.4,0.49,44.0,15.0,8.9,
470,2.9,0.49,42.0,13.0,6.8,
471,2.8,0.5,38.0,11.0,6.3,
472,3.1,0.49,36.0,11.0,5.4,
473,2.7,0.46,34.0,10.0,5.5,
474,2.8,0.45,31.0,9.0,6.2,
475,2.6,0.44,30.0,8.0,8.2,
476,2.8,0.44,30.0,7.0,9.5,
477,2.7,0.44,30.0,6.0,9.7,
478,2.8,0.44,30.0,6.0,7.9,
479,2.8,0.45,30.0,5.0,10.0,
480,2.8,0.45,30.0,5.0,7.6,
481,3.0,0.45,28.0,5.0,5.3,
482,2.8,0.44,26.0,5.0,5.7,
483,2.4,0.43,24.0,4.0,7.0,
484,3.0,0.41,21.0,3.0,7.0,
485,3.2,0.39,22.0,3.0,6.8,
486,3.1,0.39,21.0,3.0,8.5,
487,2.8,0.36,22.0,3.0,8.6,
488,3.2,0.36,22.0,4.0,8.6,
489,3.3,0.36,20.0,5.0,7.7,
490,3.3,0.39,20.0,6.0,9.0,
491,3.3,0.4,20.0,6.0,8.5,
492,3.3,0.4,20.0,6.0,7.5,
493,3.3,0.4,20.0,6.0,7.5,
494,2.2,0.41,26.0,21.0,7.4,
495,2.6,0.41,28.0,6.0,8.7,
496,2.8,0.41,32.0,8.0,8.9,
497,3.3,0.41,34.0,10.0,10.3,
498,3.3,0.41,36.0,10.0,12.8,
499,3.1,0.43,38.0,12.0,14.2,
500,3.1,0.43,38.0,12.0,14.2,
501,2.7,0.44,39.0,12.0,16.8,
502,2.8,0.46,40.0,12.0,16.3,
503,2.7,0.46,42.0,13.0,14.2,
504,2.7,0.5,42.0,13.0,14.0,
505,2.5,0.51,40.0,14.0,10.7,
506,2.6,0.52,41.0,15.0,8.9,
507,2.4,0.51,40.0,15.0,7.6,
508,2.5,0.49,42.0,16.0,6.9,
509,2.0,0.45,44.0,15.0,5.3,
510,2.0,0.41,44.0,14.0,5.1,
511,2.1,0.38,48.0,14.0,5.6,
512,2.2,0.3,52.0,15.0,5.2,
513,2.0,0.28,56.0,16.0,6.2,
514,2.3,0.26,58.0,18.0,7.1,
515,2.2,0.28,58.0,19.0,8.6,
516,2.2,0.3,57.0,19.0,9.4,
517,2.2,0.3,57.0,19.0,9.4,
518,2.1,0.34,56.0,19.0,8.1,
519,2.0,0.34,63.0,19.0,6.1,
520,1.9,0.32,94.0,23.0,5.1,
521,2.1,0.3,112.0,25.0,5.7,
522,2.0,0.28,124.0,26.0,5.6,
523,2.1,0.24,126.0,26.0,6.2,
524,1.8,0.2,106.0,23.0,7.1,
525,1.8,0.16,91.0,19.0,6.0,
526,1.7,0.14,79.0,16.0,5.4,
527,1.7,0.13,69.0,14.0,4.8,
528,1.7,0.11,62.0,12.0,4.7,
529,1.7,0.11,58.0,12.0,4.8,
530,1.9,0.11,54.0,11.0,4.5,
531,1.4,0.12,49.0,10.0,4.4,
532,1.6,0.14,40.0,8.0,5.2,
533,2.0,0.15,34.0,7.0,6.0,
534,1.8,0.16,31.0,6.0,5.3,
535,1.7,0.16,29.0,5.0,5.1,
536,1.8,0.19,27.0,5.0,4.9,
537,1.8,0.21,26.0,6.0,6.0,
538,2.9,0.24,23.0,5.0,7.1,
539,2.4,0.25,22.0,5.0,6.9,
540,2.1,0.28,21.0,4.0,6.9,
541,2.0,0.3,20.0,3.0,6.9,
542,1.8,0.32,20.0,3.0,6.0,
543,1.7,0.36,20.0,4.0,7.4,
544,1.8,0.37,23.0,5.0,7.4,
545,1.9,0.4,27.0,5.0,7.9,
546,1.9,0.43,31.0,7.0,9.1,
547,1.7,0.45,36.0,8.0,11.4,
548,1.8,0.48,39.0,9.0,12.7,
549,1.7,0.49,44.0,10.0,12.1,
550,2.1,0.5,44.0,11.0,13.1,
551,2.1,0.52,43.0,12.0,16.3,
552,2.5,0.55,42.0,12.0,19.4,
553,2.7,0.56,40.0,13.0,18.3,
554,3.1,0.57,42.0,14.0,18.6,
555,3.2,0.57,42.0,15.0,16.2,
556,2.1,0.55,40.0,14.0,13.4,
557,2.1,0.55,40.0,14.0,15.0,
558,2.6,0.55,38.0,15.0,16.9,
559,3.9,0.54,38.0,14.0,20.1,
560,4.3,0.54,36.0,15.0,20.1,
561,5.0,0.55,37.0,16.0,25.9,
562,5.1,0.56,38.0,17.0,24.1,
563,4.1,0.6,40.0,18.0,22.6,
564,3.8,0.61,41.0,18.0,17.9,
565,3.1,0.61,41.0,18.0,17.8,
566,3.0,0.61,42.0,17.0,12.2,
567,2.8,0.6,44.0,16.0,9.0,
568,2.6,0.57,47.0,16.0,8.6,
569,2.6,0.54,50.0,15.0,9.1,
570,2.7,0.51,50.0,15.0,11.7,
571,2.1,0.47,50.0,15.0,12.3,
572,2.1,0.5,51.0,15.0,17.2,
573,2.1,0.5,51.0,15.0,17.2,
574,2.1,0.5,51.0,15.0,17.2,
575,2.8,0.55,52.0,15.0,12.2,
576,2.4,0.57,50.0,15.0,12.4,
577,3.4,0.6,51.0,15.0,21.8,
578,2.4,0.61,51.0,15.0,17.7,
579,2.7,0.61,52.0,15.0,20.3,
580,2.7,0.61,52.0,15.0,20.3,
581,2.7,0.61,52.0,15.0,20.3,
582,2.7,0.61,52.0,15.0,20.3,
583,2.6,0.54,59.0,21.0,15.1,
584,2.8,0.54,63.0,24.0,20.0,
585,2.9,0.55,68.0,29.0,22.5,
586,3.0,0.61,70.0,33.0,26.1,
587,3.3,0.66,70.0,35.0,28.1,
588,2.9,0.67,71.0,35.0,17.2,
589,3.6,0.68,72.0,35.0,16.7,
590,4.0,0.66,76.0,35.0,11.4,
591,2.8,0.65,76.0,34.0,7.3,
592,2.2,0.62,72.0,32.0,7.3,
593,3.3,0.59,69.0,30.0,7.9,
594,2.9,0.5,62.0,27.0,10.3,
595,3.0,0.44,59.0,26.0,16.5,
596,2.3,0.43,58.0,25.0,13.7,
597,1.9,0.41,55.0,22.0,13.4,
598,2.2,0.41,54.0,19.0,11.3,
599,2.3,0.43,52.0,16.0,11.4,
600,2.0,0.41,50.0,14.0,8.6,
601,2.1,0.4,48.0,13.0,10.5,
602,2.3,0.39,43.0,12.0,7.2,
603,2.0,0.38,38.0,10.0,9.1,
604,2.1,0.35,36.0,9.0,9.9,
