,SO2,O3,PM10,PM25,NO2,pr
241,3.7,0,82.0,30.0,19.2,
242,3.0,51,78.0,35.0,15.0,
243,3.1,49,74.0,34.0,12.7,
244,2.7,47,72.0,32.0,10.1,
245,2.5,47,68.0,31.0,8.9,
246,2.2,47,65.0,31.0,8.5,
247,2.1,48,64.0,30.0,9.0,
248,2.1,50,62.0,30.0,11.2,
249,2.1,50,60.0,28.0,9.6,
250,2.0,51,58.0,27.0,9.0,
251,2.1,50,57.0,26.0,12.8,
252,2.1,48,56.0,25.0,13.6,
253,2.2,47,54.0,24.0,12.9,
254,2.2,47,54.0,23.0,13.2,
255,2.7,47,54.0,23.0,12.7,
256,2.1,49,55.0,23.0,12.7,
257,2.2,51,58.0,23.0,11.1,
258,2.3,52,61.0,23.0,9.9,
259,2.3,54,66.0,23.0,10.5,
260,2.5,56,69.0,22.0,11.7,
261,2.2,57,72.0,23.0,15.6,
262,3.2,56,73.0,23.0,21.9,
263,2.6,53,70.0,23.0,18.8,
264,2.6,51,66.0,23.0,14.3,
265,2.5,48,60.0,22.0,14.4,
266,2.7,46,57.0,20.0,12.8,
267,2.8,45,55.0,19.0,10.6,
268,2.5,44,52.0,18.0,9.2,
269,1.8,43,50.0,18.0,9.9,
270,1.3,43,47.0,17.0,9.5,
271,2.0,44,44.0,16.0,12.1,
272,1.2,43,42.0,15.0,9.8,
273,1.1,43,40.0,13.0,11.7,
274,1.5,42,38.0,13.0,11.5,
275,2.2,41,38.0,13.0,18.3,
276,3.2,39,39.0,14.0,19.5,
277,2.6,39,40.0,15.0,11.5,
278,2.5,39,42.0,16.0,13.6,
279,2.6,41,44.0,16.0,12.2,
280,2.1,44,46.0,17.0,12.7,
281,2.3,48,48.0,15.0,11.4,
282,2.6,51,51.0,17.0,10.3,
283,2.1,55,52.0,17.0,11.0,
284,1.8,58,56.0,15.0,12.2,
285,2.1,58,55.0,16.0,16.6,
286,2.5,57,54.0,14.0,21.6,
287,2.6,55,52.0,15.0,21.6,
288,2.1,51,52.0,17.0,19.8,
289,1.3,47,52.0,18.0,13.4,
290,2.5,44,50.0,18.0,15.5,
291,2.3,40,50.0,18.0,19.4,
292,1.7,37,48.0,16.0,11.7,
293,1.0,36,44.0,14.0,7.6,
294,1.2,36,40.0,13.0,6.8,
295,1.0,36,36.0,11.0,7.7,
296,1.1,37,34.0,9.0,7.3,
297,0.8,38,34.0,9.0,5.9,
298,1.1,38,34.0,9.0,11.0,
299,2.1,38,33.0,9.0,19.3,
300,1.5,37,34.0,9.0,17.1,
301,1.5,37,33.0,10.0,13.4,
302,1.8,38,34.0,10.0,11.0,
303,3.0,40,36.0,11.0,9.4,
304,2.5,42,37.0,11.0,12.3,
305,2.2,45,41.0,11.0,11.2,
306,2.1,48,46.0,11.0,8.4,
307,1.6,52,50.0,11.0,8.5,
308,2.2,55,52.0,12.0,11.2,
309,2.7,56,54.0,12.0,15.3,
310,2.0,56,56.0,14.0,20.6,
311,2.0,54,57.0,15.0,21.6,
312,1.0,51,58.0,17.0,24.4,
313,1.0,46,58.0,17.0,24.3,
314,0.7,42,58.0,17.0,23.8,
315,0.7,38,56.0,18.0,24.5,
316,0.6,35,56.0,19.0,24.4,
317,0.8,32,55.0,20.0,22.6,
318,0.8,31,52.0,20.0,12.0,
319,0.5,31,51.0,19.0,15.5,
320,0.5,33,50.0,19.0,8.8,
321,0.6,34,48.0,19.0,14.3,
322,0.5,35,45.0,18.0,15.3,
323,0.5,37,42.0,18.0,15.1,
324,0.7,39,42.0,17.0,14.9,
325,1.0,42,40.0,16.0,14.9,
326,1.6,43,42.0,16.0,13.4,
327,1.2,46,44.0,16.0,10.4,
328,1.2,48,45.0,15.0,8.9,
329,1.2,50,47.0,15.0,8.7,
330,1.3,52,50.0,13.0,7.6,
331,1.3,55,52.0,13.0,7.8,
332,1.3,56,56.0,13.0,9.2,
333,1.5,57,57.0,13.0,11.1,
334,1.3,57,58.0,15.0,14.9,
335,1.5,56,58.0,16.0,14.4,
336,1.8,55,59.0,17.0,13.9,
337,1.6,54,58.0,19.0,14.5,
338,1.6,53,59.0,20.0,16.0,
339,1.7,52,60.0,21.0,16.5,
340,1.6,51,62.0,22.0,13.6,
341,1.7,51,63.0,22.0,12.1,
342,1.8,50,62.0,22.0,8.7,
343,1.6,50,60.0,22.0,10.0,
344,1.3,50,58.0,20.0,9.5,
345,1.5,49,55.0,20.0,11.5,
346,1.6,49,54.0,19.0,11.4,
347,1.6,49,54.0,18.0,12.5,
348,1.7,48,54.0,18.0,14.0,
349,1.6,48,54.0,19.0,11.6,
350,1.6,47,56.0,20.0,11.6,
351,1.6,47,56.0,22.0,13.1,
352,1.7,47,56.0,24.0,12.9,
353,1.7,47,58.0,24.0,11.6,
354,1.6,48,59.0,25.0,11.2,
355,1.7,50,60.0,25.0,10.9,
356,1.6,52,60.0,26.0,13.3,
357,1.5,53,60.0,26.0,15.5,
358,1.6,54,62.0,27.0,19.0,
359,1.7,55,63.0,27.0,18.8,
360,1.8,56,65.0,29.0,18.3,
361,1.8,55,67.0,32.0,15.6,
362,1.5,55,65.0,32.0,11.6,
363,1.3,55,60.0,31.0,8.8,
364,1.3,55,57.0,29.0,8.4,
365,1.3,56,54.0,26.0,8.4,
366,1.3,57,52.0,24.0,7.4,
367,1.5,59,52.0,23.0,7.9,
368,1.6,59,54.0,23.0,8.5,
369,1.7,60,54.0,23.0,9.2,
370,1.5,60,57.0,25.0,8.7,
371,1.5,59,58.0,25.0,9.9,
372,1.6,58,57.0,26.0,9.6,
373,1.6,57,56.0,26.0,8.3,
374,1.3,56,54.0,25.0,8.5,
375,1.3,56,55.0,24.0,8.9,
376,1.3,57,57.0,23.0,10.6,
377,1.2,58,61.0,23.0,10.7,
378,1.3,59,69.0,23.0,9.8,
379,1.5,61,74.0,25.0,9.6,
380,1.2,62,80.0,25.0,9.6,
381,1.3,63,80.0,24.0,10.0,
382,1.3,63,76.0,22.0,12.3,
383,1.5,62,72.0,21.0,11.1,
384,1.3,61,70.0,21.0,9.5,
385,1.3,60,67.0,21.0,9.0,
386,1.3,58,66.0,21.0,8.5,
387,1.5,58,68.0,21.0,7.7,
388,1.5,58,68.0,22.0,7.6,
389,1.5,60,72.0,26.0,7.9,
390,1.6,61,78.0,33.0,7.0,
391,1.7,62,82.0,38.0,6.7,
392,1.6,63,86.0,42.0,6.3,
393,1.5,63,85.0,42.0,6.5,
394,1.6,62,79.0,39.0,7.0,
395,1.7,59,72.0,36.0,10.0,
396,1.6,56,66.0,32.0,9.4,
397,1.7,52,63.0,29.0,9.0,
398,1.7,48,62.0,26.0,10.5,
399,1.7,46,62.0,24.0,11.2,
400,1.7,44,64.0,23.0,12.9,
401,1.5,42,66.0,21.0,11.1,
402,1.5,42,66.0,19.0,10.9,
403,1.7,43,66.0,17.0,11.5,
404,1.6,44,66.0,14.0,11.8,
405,1.5,44,63.0,12.0,14.0,
406,1.6,43,60.0,12.0,18.3,
407,1.6,42,56.0,12.0,14.7,
408,1.5,41,52.0,12.0,12.5,
409,1.6,39,48.0,12.0,13.2,
410,1.5,37,46.0,12.0,13.3,
411,1.3,36,44.0,12.0,11.2,
412,1.6,34,42.0,11.0,11.1,
413,1.6,34,40.0,10.0,8.9,
414,1.7,33,36.0,9.0,13.2,
415,1.5,32,32.0,8.0,10.6,
416,1.6,31,29.0,8.0,11.0,
417,1.6,30,27.0,7.0,10.4,
418,1.6,29,26.0,6.0,15.0,
419,1.6,28,26.0,6.0,15.1,
420,1.7,25,26.0,6.0,24.9,
421,1.8,23,26.0,7.0,22.3,
422,1.6,22,26.0,8.0,16.4,
423,1.6,23,27.0,8.0,13.7,
424,1.6,26,31.0,8.0,13.4,
425,1.6,29,36.0,8.0,13.4,
426,1.5,34,40.0,8.0,12.6,
427,1.2,38,44.0,9.0,12.5,
428,1.2,42,44.0,9.0,14.5,
429,1.5,45,45.0,9.0,18.3,
430,1.7,45,47.0,9.0,24.2,
431,1.5,42,50.0,11.0,25.6,
432,1.5,39,50.0,12.0,23.3,
433,1.5,34,48.0,13.0,21.2,
434,1.5,28,46.0,13.0,22.7,
435,1.5,22,43.0,12.0,25.0,
436,1.2,18,40.0,11.0,22.3,
437,1.3,14,38.0,10.0,27.1,
438,1.3,11,36.0,10.0,26.3,
439,1.6,9,36.0,10.0,23.3,
440,1.6,7,36.0,11.0,24.7,
441,1.7,5,36.0,12.0,24.1,
442,1.5,4,38.0,14.0,24.2,
443,1.7,4,38.0,14.0,24.8,
444,2.0,4,40.0,15.0,22.5,
445,2.0,4,40.0,15.0,22.5,
446,2.0,4,40.0,15.0,22.5,
447,2.0,4,40.0,15.0,22.5,
448,1.2,20,48.0,19.0,15.8,
449,1.2,26,48.0,17.0,11.4,
450,1.0,32,49.0,16.0,10.5,
451,1.2,39,51.0,16.0,10.1,
452,3.0,44,52.0,16.0,9.8,
453,2.6,47,52.0,16.0,12.6,
454,2.5,46,53.0,17.0,19.4,
455,2.5,44,56.0,16.0,23.7,
456,2.5,41,58.0,17.0,17.2,
457,2.7,37,60.0,17.0,17.8,
458,2.7,32,59.0,16.0,20.9,
459,2.8,25,56.0,16.0,25.6,
460,2.7,20,54.0,16.0,23.6,
461,3.0,17,54.0,17.0,19.9,
462,3.0,14,56.0,18.0,22.7,
463,3.0,13,56.0,20.0,22.2,
464,3.0,13,58.0,22.0,19.5,
465,3.0,13,57.0,24.0,15.6,
466,3.0,13,54.0,24.0,21.5,
467,3.0,14,52.0,24.0,22.3,
468,3.0,15,52.0,25.0,20.4,
469,2.8,16,53.0,25.0,15.4,
470,2.6,19,53.0,25.0,15.6,
471,2.5,21,52.0,24.0,13.2,
472,2.2,24,49.0,21.0,10.3,
473,2.2,26,46.0,18.0,10.1,
474,2.2,30,44.0,17.0,9.3,
475,2.3,35,42.0,15.0,9.6,
476,2.8,38,41.0,14.0,12.0,
477,2.7,39,42.0,14.0,13.4,
478,2.5,39,43.0,13.0,15.1,
479,2.2,38,44.0,12.0,14.0,
480,2.3,37,46.0,12.0,15.5,
481,2.5,34,48.0,12.0,16.2,
482,2.2,32,48.0,12.0,16.1,
483,2.5,29,46.0,13.0,15.1,
484,2.5,27,44.0,13.0,11.4,
485,2.3,26,42.0,12.0,13.3,
486,2.5,25,39.0,11.0,11.5,
487,2.7,24,38.0,10.0,10.9,
488,2.8,23,36.0,9.0,15.3,
489,2.6,23,36.0,10.0,12.2,
490,2.6,23,37.0,10.0,13.9,
491,2.6,22,37.0,10.0,15.3,
492,2.6,22,37.0,12.0,16.7,
493,2.6,22,37.0,12.0,16.7,
494,2.6,23,36.0,11.0,16.4,
495,2.6,23,36.0,11.0,16.4,
496,2.6,26,33.0,10.0,13.1,
497,2.6,30,34.0,9.0,12.2,
498,2.6,34,38.0,11.0,10.9,
499,2.3,38,40.0,11.0,12.6,
500,2.3,40,42.0,12.0,19.8,
501,2.6,40,44.0,15.0,22.7,
502,2.6,40,44.0,16.0,24.4,
503,2.6,40,45.0,16.0,24.1,
504,2.5,41,47.0,18.0,19.8,
505,2.5,40,46.0,19.0,19.2,
506,2.6,40,44.0,19.0,18.1,
507,2.3,40,46.0,22.0,11.4,
508,2.5,42,45.0,22.0,9.2,
509,2.7,43,46.0,22.0,11.0,
510,2.6,45,46.0,22.0,7.0,
511,2.5,47,46.0,21.0,6.8,
512,2.5,48,47.0,19.0,6.7,
513,2.6,50,48.0,18.0,6.3,
514,2.6,52,51.0,18.0,6.1,
515,2.6,54,54.0,20.0,6.5,
516,2.5,55,54.0,21.0,7.9,
517,2.5,58,54.0,22.0,10.0,
518,2.5,59,58.0,21.0,11.6,
519,2.5,59,60.0,19.0,11.8,
520,2.6,59,64.0,18.0,10.6,
521,2.3,59,72.0,16.0,7.1,
522,2.5,57,86.0,17.0,6.5,
523,2.3,56,95.0,17.0,6.7,
524,2.6,53,97.0,17.0,7.4,
525,2.5,51,90.0,16.0,7.9,
526,2.5,49,78.0,15.0,8.3,
527,2.3,47,68.0,14.0,7.9,
528,2.5,46,60.0,13.0,7.3,
529,2.7,44,54.0,11.0,7.2,
530,2.5,42,48.0,10.0,6.5,
531,2.5,41,44.0,14.0,5.7,
532,2.3,41,40.0,13.0,5.3,
533,2.3,40,35.0,12.0,5.5,
534,2.3,40,28.0,11.0,6.2,
535,2.5,40,23.0,7.0,6.2,
536,2.3,39,21.0,7.0,5.4,
537,2.5,39,22.0,7.0,5.9,
538,2.3,39,22.0,7.0,6.3,
539,2.1,38,21.0,7.0,7.6,
540,2.3,37,20.0,7.0,9.3,
541,2.3,36,20.0,7.0,9.6,
542,2.2,35,20.0,8.0,9.8,
543,2.2,36,20.0,7.0,10.7,
544,2.2,36,22.0,7.0,11.2,
545,2.5,37,24.0,7.0,10.4,
546,2.5,39,26.0,7.0,12.3,
547,2.3,41,32.0,11.0,11.6,
548,2.5,42,37.0,12.0,13.2,
549,2.5,42,41.0,13.0,15.5,
550,2.3,42,44.0,15.0,16.5,
551,2.2,41,46.0,15.0,17.9,
552,2.5,38,54.0,18.0,18.3,
553,2.7,35,59.0,20.0,20.0,
554,2.8,31,61.0,21.0,20.6,
555,2.7,27,60.0,22.0,21.0,
556,2.8,23,54.0,20.0,19.8,
557,2.7,21,48.0,18.0,17.2,
558,2.3,18,44.0,17.0,14.5,
559,2.8,16,38.0,15.0,17.8,
560,2.8,13,38.0,16.0,21.6,
561,2.7,11,38.0,16.0,23.1,
562,2.3,9,40.0,18.0,23.7,
563,2.7,8,42.0,19.0,22.5,
564,3.1,7,43.0,20.0,27.6,
565,3.0,7,44.0,20.0,27.0,
566,2.7,8,44.0,22.0,18.9,
567,2.3,11,46.0,21.0,17.6,
568,2.1,16,47.0,21.0,15.1,
569,2.1,16,47.0,21.0,15.1,
570,2.2,22,50.0,21.0,12.0,
571,2.2,0,50.0,21.0,12.0,
572,2.2,37,57.0,18.0,11.1,
573,2.2,40,61.0,18.0,14.4,
574,2.2,41,66.0,18.0,17.8,
575,2.2,41,66.0,18.0,17.8,
576,2.2,41,66.0,18.0,17.8,
577,2.3,33,77.0,22.0,18.6,
578,2.3,29,77.0,20.0,15.4,
579,2.3,25,76.0,20.0,17.7,
580,2.6,22,74.0,18.0,17.1,
581,2.6,20,71.0,18.0,19.4,
582,2.6,19,68.0,18.0,16.1,
