,SO2,CO,PM10,PM25,NO2,pr
227,1.7,0.3,54.0,25.0,24.6,
228,2.0,0.31,56.0,25.0,15.8,
229,1.6,0.31,60.0,24.0,10.0,
230,2.1,0.31,66.0,23.0,10.0,
231,1.8,0.31,78.0,25.0,7.0,
232,1.8,0.32,92.0,27.0,8.1,
233,1.6,0.31,98.0,28.0,8.4,
234,1.3,0.27,102.0,30.0,12.6,
235,1.3,0.22,104.0,29.0,16.6,
236,1.3,0.25,100.0,29.0,22.6,
237,1.3,0.28,102.0,30.0,21.1,
238,1.3,0.29,102.0,30.0,15.8,
239,1.3,0.29,102.0,30.0,15.8,
240,1.3,0.31,96.0,29.0,13.1,
241,1.3,0.32,90.0,29.0,11.5,
242,1.3,0.33,86.0,28.0,16.4,
243,1.3,0.35,80.0,29.0,18.9,
244,1.3,0.36,76.0,30.0,17.1,
245,1.3,0.34,74.0,31.0,16.3,
246,1.3,0.33,74.0,32.0,15.7,
247,1.3,0.31,71.0,32.0,16.6,
248,1.3,0.3,68.0,31.0,21.4,
249,1.3,0.32,66.0,30.0,23.1,
250,1.3,0.34,66.0,33.0,23.9,
251,1.9,0.36,70.0,33.0,22.8,
252,2.0,0.39,77.0,33.0,25.3,
253,3.0,0.37,89.0,33.0,13.8,
254,3.0,0.37,109.0,32.0,8.7,
255,2.6,0.36,128.0,30.0,6.6,
256,2.5,0.35,130.0,29.0,12.7,
257,2.5,0.31,126.0,27.0,8.7,
258,2.3,0.25,114.0,23.0,10.1,
259,1.5,0.19,101.0,21.0,12.9,
260,1.6,0.13,98.0,20.0,14.3,
261,1.4,0.13,96.0,20.0,13.6,
262,1.6,0.14,91.0,19.0,13.0,
263,1.5,0.14,86.0,19.0,11.9,
264,1.5,0.15,80.0,19.0,10.5,
265,1.4,0.16,72.0,17.0,10.6,
266,2.4,0.18,62.0,16.0,16.8,
267,1.4,0.19,54.0,16.0,15.6,
268,1.6,0.2,50.0,16.0,15.0,
269,3.5,0.2,50.0,16.0,16.3,
270,37.9,0.2,50.0,19.0,16.0,
271,2.6,0.2,52.0,19.0,15.1,
272,5.8,0.2,53.0,19.0,17.7,
273,16.9,0.21,52.0,17.0,19.2,
274,19.7,0.22,51.0,17.0,20.4,
275,3.5,0.22,50.0,17.0,13.8,
276,3.5,0.22,50.0,17.0,13.8,
277,3.5,0.22,50.0,17.0,13.8,
278,3.5,0.22,50.0,17.0,13.8,
279,3.5,0.22,50.0,17.0,13.8,
280,3.5,0.22,50.0,17.0,13.8,
281,3.5,0.22,50.0,17.0,13.8,
282,3.5,0.22,50.0,17.0,13.8,
283,3.5,0.22,50.0,17.0,13.8,
284,3.5,0.22,50.0,17.0,13.8,
285,3.5,0.22,50.0,17.0,13.8,
286,2.2,0.14,66.0,13.0,15.0,
287,2.0,0.15,66.0,12.0,11.9,
288,1.7,0.16,64.0,11.0,11.4,
289,1.7,0.16,64.0,11.0,11.4,
290,3.4,0.19,55.0,11.0,16.2,
291,3.4,0.19,55.0,11.0,16.2,
292,3.4,0.19,55.0,11.0,16.2,
293,2.0,0.21,53.0,12.0,15.8,
294,2.0,0.21,54.0,13.0,15.4,
295,3.2,0.21,52.0,15.0,16.6,
296,4.4,0.21,51.0,16.0,16.8,
297,3.8,0.21,48.0,17.0,20.0,
298,4.2,0.23,46.0,16.0,21.2,
299,5.1,0.25,46.0,17.0,22.8,
300,5.9,0.28,50.0,16.0,21.3,
301,5.7,0.34,54.0,15.0,11.1,
302,5.5,0.34,59.0,16.0,8.0,
303,5.6,0.33,61.0,15.0,7.8,
304,5.3,0.32,60.0,15.0,6.8,
305,6.9,0.31,60.0,14.0,11.2,
306,7.2,0.27,62.0,14.0,11.9,
307,7.9,0.22,66.0,14.0,15.7,
308,7.8,0.2,70.0,13.0,20.3,
309,7.6,0.14,74.0,15.0,17.3,
310,7.4,0.14,76.0,14.0,14.6,
311,7.2,0.15,75.0,15.0,12.9,
312,5.4,0.16,70.0,15.0,11.5,
313,6.4,0.17,63.0,14.0,9.8,
314,8.6,0.16,58.0,14.0,7.0,
315,8.5,0.16,54.0,14.0,4.8,
316,7.4,0.14,54.0,13.0,3.4,
317,7.7,0.13,52.0,13.0,2.8,
318,7.8,0.11,51.0,13.0,2.5,
319,7.4,0.1,50.0,13.0,6.3,
320,4.9,0.11,48.0,12.0,15.1,
321,4.8,0.12,46.0,12.0,14.9,
322,6.7,0.17,46.0,13.0,20.6,
323,4.3,0.18,48.0,13.0,10.5,
324,4.3,0.19,48.0,13.0,10.5,
325,7.3,0.19,52.0,14.0,5.9,
326,7.4,0.19,58.0,14.0,8.2,
327,7.1,0.19,62.0,14.0,6.6,
328,6.9,0.18,68.0,14.0,6.9,
329,8.6,0.15,72.0,14.0,9.0,
330,8.7,0.1,77.0,14.0,8.4,
331,8.7,0.09,81.0,14.0,12.5,
332,7.4,0.1,82.0,14.0,13.8,
333,5.8,0.11,82.0,14.0,13.4,
334,3.5,0.12,78.0,14.0,11.1,
335,3.3,0.13,76.0,15.0,10.1,
336,2.6,0.14,75.0,16.0,9.0,
337,2.9,0.15,72.0,17.0,8.8,
338,3.5,0.15,68.0,18.0,7.3,
339,2.2,0.15,65.0,19.0,4.2,
340,2.3,0.14,62.0,19.0,3.8,
341,3.8,0.13,60.0,18.0,3.6,
342,5.0,0.12,56.0,17.0,1.5,
343,5.4,0.11,52.0,15.0,2.1,
344,3.4,0.09,50.0,14.0,3.3,
345,1.9,0.09,49.0,15.0,4.2,
346,2.8,0.08,49.0,15.0,7.6,
347,2.3,0.09,50.0,15.0,10.5,
348,2.3,0.09,50.0,15.0,10.5,
349,3.8,0.09,52.0,18.0,8.0,
350,4.7,0.1,55.0,18.0,9.2,
351,4.2,0.11,60.0,19.0,6.5,
352,3.0,0.12,62.0,18.0,7.4,
353,4.8,0.13,62.0,18.0,9.1,
