,SO2,CO,O3,PM10,PM25,NO2,NO,pr
5756,4.0,0.48,50.0,104.0,61.0,14.0,2.4,
5757,3.5,0.45,56.0,97.0,53.0,12.0,2.2,
5758,4.9,0.38,56.0,90.0,52.0,11.0,0.6,
5759,4.1,0.36,49.0,75.0,38.0,9.5,0.6,
5760,3.5,0.41,41.0,75.0,33.0,15.0,0.6,
5761,3.0,0.39,38.0,74.0,32.0,13.0,0.6,
5762,2.8,0.43,21.0,70.0,37.0,14.0,0.7,
5763,2.6,0.46,14.0,59.0,39.0,20.0,3.4,
5764,2.9,0.57,15.0,50.0,36.0,25.0,7.2,
5765,3.6,0.43,37.0,52.0,32.0,15.0,2.3,
5766,3.4,0.36,53.0,46.0,24.0,12.0,1.6,
5767,3.7,0.36,68.0,52.0,32.0,12.0,1.1,
5768,7.0,0.47,75.0,62.0,35.0,13.0,1.3,
5769,4.3,0.32,77.0,63.0,32.0,8.8,1.0,
5770,4.0,0.29,70.0,62.0,29.0,9.4,0.9,
5771,3.8,0.26,76.0,62.0,28.0,8.8,0.8,
5772,3.6,0.24,77.0,69.0,33.0,8.5,0.6,
5773,3.5,0.25,72.0,67.0,28.0,8.6,0.7,
5774,4.0,0.38,67.0,75.0,30.0,14.0,0.7,
5775,3.8,0.4,46.0,78.0,32.0,16.0,0.7,
5776,3.5,0.4,34.0,82.0,36.0,16.0,0.6,
5777,4.3,0.42,26.0,65.0,34.0,20.0,0.7,
5778,4.9,0.5,21.0,59.0,35.0,23.0,0.6,
5779,3.6,0.37,24.0,54.0,29.0,20.0,0.6,
5780,3.6,0.42,18.0,57.0,31.0,20.0,0.7,
5781,4.1,0.56,6.1,60.0,27.0,30.0,1.8,
5782,2.0,0.5,5.3,58.0,24.0,24.0,2.8,
5783,1.8,0.45,5.6,62.0,22.0,22.0,2.6,
5784,1.4,0.43,5.6,55.0,19.0,20.0,1.7,
5785,1.1,0.37,5.3,49.0,18.0,17.0,3.7,
5786,1.5,0.41,6.9,33.0,17.0,16.0,1.4,
5787,1.3,0.38,7.2,23.0,18.0,15.0,5.1,
5788,1.5,0.45,13.0,16.0,18.0,16.0,8.0,
5789,2.0,0.46,35.0,26.0,20.0,16.0,5.4,
5790,2.6,0.47,59.0,42.0,22.0,18.0,4.1,
5791,6.4,0.52,87.0,66.0,35.0,19.0,3.1,
5792,10.0,0.49,99.0,80.0,49.0,16.0,2.4,
5793,7.4,0.39,91.0,86.0,50.0,10.0,2.1,
5794,9.4,0.5,107.0,95.0,47.0,12.0,2.1,
5795,11.0,0.51,94.0,92.0,45.0,12.0,2.1,
5796,17.0,0.59,62.0,92.0,46.0,23.0,3.3,
5797,13.0,0.55,74.0,83.0,47.0,19.0,2.6,
5798,10.0,0.53,75.0,85.0,53.0,19.0,1.9,
5799,8.3,0.56,70.0,95.0,57.0,17.0,1.8,
5800,7.4,0.78,42.0,105.0,65.0,31.0,2.0,
5801,5.3,0.87,34.0,106.0,56.0,31.0,2.0,
5802,5.2,0.81,33.0,105.0,62.0,32.0,5.0,
5803,6.6,0.89,33.0,101.0,50.0,43.0,5.6,
5804,6.5,0.87,16.0,102.0,53.0,32.0,1.8,
5805,5.8,0.82,17.0,90.0,46.0,25.0,1.8,
5806,4.9,0.63,24.0,90.0,52.0,22.0,0.5,
5807,4.0,0.47,32.0,88.0,52.0,15.0,0.6,
5808,3.9,0.43,32.0,98.0,63.0,14.0,0.6,
5809,3.6,0.39,29.0,99.0,57.0,16.0,0.7,
5810,4.0,0.36,24.0,98.0,49.0,17.0,0.6,
5811,3.3,0.46,16.0,94.0,38.0,22.0,1.8,
5812,3.4,0.69,17.0,89.0,37.0,24.0,11.0,
5813,4.2,0.77,27.0,94.0,37.0,29.0,7.5,
5814,5.7,0.59,60.0,98.0,37.0,21.0,2.4,
5815,5.8,0.54,86.0,106.0,49.0,17.0,1.4,
5816,7.5,0.5,101.0,111.0,58.0,16.0,1.1,
5817,12.0,0.53,88.0,117.0,65.0,18.0,1.6,
5818,19.0,0.56,77.0,110.0,57.0,26.0,2.6,
5819,18.0,0.57,65.0,100.0,53.0,28.0,3.3,
5820,12.0,0.46,81.0,93.0,50.0,21.0,2.0,
5821,5.2,0.27,65.0,85.0,43.0,16.0,1.2,
5822,3.5,0.37,38.0,81.0,34.0,21.0,0.9,
5823,3.3,0.53,19.0,73.0,26.0,31.0,0.8,
5824,4.7,0.43,15.0,86.0,27.0,26.0,0.4,
5825,3.3,0.57,6.0,81.0,22.0,32.0,5.7,
5826,5.4,0.73,6.9,84.0,17.0,34.0,9.0,
5827,5.7,0.62,18.0,80.0,20.0,30.0,0.1,
5828,4.9,0.48,14.0,87.0,29.0,25.0,0.8,
5829,3.7,0.3,8.4,74.0,30.0,20.0,0.7,
5830,4.9,0.31,7.0,60.0,23.0,24.0,3.1,
5831,2.7,0.13,15.0,41.0,12.0,10.0,0.8,
5832,3.3,0.14,9.1,33.0,6.0,16.0,2.9,
5833,3.1,0.13,12.0,19.0,2.0,11.0,0.6,
5834,2.8,0.14,11.0,14.0,8.0,15.0,0.9,
5835,2.8,0.16,13.0,16.0,14.0,12.0,2.1,
5836,3.3,0.34,9.9,31.0,17.0,16.0,6.5,
5837,3.6,0.34,18.0,38.0,13.0,14.0,6.3,
5838,2.7,0.19,29.0,40.0,5.0,9.9,3.3,
5839,2.7,0.17,45.0,38.0,8.0,8.5,2.2,
5840,2.4,0.13,44.0,38.0,11.0,7.5,1.9,
5841,2.2,0.13,44.0,40.0,13.0,6.4,1.7,
5842,2.3,0.13,47.0,31.0,16.0,6.7,1.6,
5843,2.1,0.12,40.0,32.0,9.0,7.4,1.5,
5844,2.3,0.14,32.0,29.0,11.0,12.0,2.5,
5845,2.2,0.14,24.0,29.0,2.0,11.0,2.3,
5846,2.3,0.17,18.0,29.0,10.0,10.0,2.1,
5847,2.3,0.2,16.0,34.0,8.0,12.0,1.6,
5848,2.5,0.2,14.0,35.0,12.0,12.0,1.6,
5849,2.4,0.18,13.0,29.0,6.0,13.0,3.0,
5850,2.4,0.15,16.0,13.0,10.0,10.0,1.0,
5851,2.4,0.12,19.0,16.0,3.0,7.9,1.1,
5852,3.0,0.1,19.0,22.0,3.0,7.5,1.1,
5853,3.4,0.1,19.0,22.0,5.0,10.0,0.8,
5854,3.4,0.1,19.0,22.0,5.0,10.0,0.8,
5855,3.0,0.09,24.0,24.0,8.0,8.1,0.9,
5856,3.0,0.09,24.0,28.0,10.0,7.4,0.8,
5857,2.9,0.09,30.0,25.0,15.0,5.5,0.8,
5858,2.9,0.1,33.0,34.0,13.0,5.0,0.8,
5859,2.5,0.12,36.0,47.0,10.0,5.3,1.1,
5860,2.6,0.18,37.0,57.0,5.0,6.9,1.4,
5861,2.7,0.18,38.0,56.0,6.0,8.0,1.7,
5862,3.0,0.15,41.0,49.0,5.0,7.8,1.9,
5863,3.0,0.15,41.0,49.0,5.0,7.8,1.9,
5864,3.1,0.15,42.0,87.0,13.0,7.7,1.8,
5865,3.1,0.15,42.0,87.0,13.0,7.7,1.8,
5866,2.9,0.15,39.0,76.0,6.0,8.6,2.1,
5867,2.9,0.16,34.0,57.0,3.0,9.2,1.9,
5868,2.8,0.18,31.0,56.0,10.0,10.0,1.7,
5869,2.8,0.21,28.0,67.0,10.0,11.0,1.6,
5870,2.7,0.22,28.0,70.0,14.0,12.0,1.6,
5871,2.6,0.19,29.0,62.0,8.0,9.8,1.1,
5872,2.6,0.19,29.0,43.0,12.0,9.1,1.0,
5873,2.9,0.17,30.0,34.0,8.0,9.6,1.0,
5874,2.6,0.14,34.0,26.0,10.0,7.2,1.0,
5875,2.6,0.14,34.0,26.0,10.0,7.2,1.0,
5876,2.6,0.14,34.0,26.0,10.0,7.2,1.0,
5877,2.6,0.14,34.0,26.0,10.0,7.2,1.0,
5878,2.6,0.14,34.0,26.0,10.0,7.2,1.0,
5879,2.6,0.14,34.0,26.0,10.0,7.2,1.0,
5880,2.6,0.14,34.0,26.0,10.0,7.2,1.0,
5881,2.6,0.14,34.0,26.0,10.0,7.2,1.0,
5882,2.6,0.14,34.0,26.0,10.0,7.2,1.0,
5883,2.6,0.14,34.0,26.0,10.0,7.2,1.0,
5884,2.6,0.14,34.0,26.0,10.0,7.2,1.0,
5885,2.6,0.14,34.0,26.0,10.0,7.2,1.0,
5886,2.6,0.14,34.0,26.0,10.0,7.2,1.0,
5887,2.6,0.14,34.0,26.0,10.0,7.2,1.0,
5888,2.6,0.14,34.0,26.0,10.0,7.2,1.0,
5889,2.6,0.14,34.0,26.0,10.0,7.2,1.0,
5890,2.6,0.14,34.0,26.0,10.0,7.2,1.0,
5891,2.6,0.14,34.0,26.0,10.0,7.2,1.0,
5892,2.6,0.14,34.0,26.0,10.0,7.2,1.0,
5893,2.6,0.14,34.0,26.0,10.0,7.2,1.0,
5894,2.7,0.69,9.3,21.0,10.0,23.0,17.0,
5895,2.7,0.5,21.0,25.0,16.0,19.0,9.1,
5896,2.5,0.31,39.0,27.0,14.0,14.0,4.1,
5897,2.7,0.31,41.0,36.0,20.0,13.0,2.1,
5898,2.6,0.36,22.0,46.0,18.0,18.0,2.3,
5899,2.0,0.29,14.0,34.0,9.0,17.0,1.9,
5900,2.2,0.4,10.0,20.0,12.0,25.0,3.3,
5901,2.3,0.44,15.0,25.0,13.0,26.0,1.9,
5902,2.4,0.4,20.0,35.0,17.0,20.0,1.5,
5903,2.8,0.64,2.9,41.0,14.0,27.0,12.0,
5904,2.4,0.55,3.1,40.0,14.0,22.0,8.0,
5905,2.4,0.45,3.1,36.0,8.0,17.0,5.8,
5906,3.0,0.47,3.0,25.0,13.0,17.0,12.0,
5907,1.2,0.25,3.5,23.0,9.0,11.0,4.8,
5908,1.3,0.21,6.5,21.0,3.0,9.2,3.3,
5909,1.1,0.25,5.9,21.0,4.0,10.0,5.1,
5910,1.2,0.24,6.7,14.0,4.0,12.0,6.0,
5911,1.2,0.22,5.9,13.0,6.0,13.0,5.0,
5912,1.3,0.24,5.7,9.0,3.0,13.0,4.8,
5913,1.3,0.31,8.4,15.0,9.0,13.0,4.7,
5914,1.5,0.43,6.3,15.0,4.0,17.0,13.0,
5915,1.5,0.46,12.0,15.0,4.0,16.0,11.0,
5916,1.5,0.53,18.0,18.0,4.0,20.0,9.0,
5917,1.4,0.54,20.0,18.0,5.0,22.0,7.0,
5918,1.5,0.65,17.0,22.0,8.0,27.0,6.9,
5919,1.2,0.57,16.0,33.0,12.0,24.0,6.2,
5920,1.5,0.69,12.0,36.0,8.0,31.0,6.3,
5921,1.5,0.69,5.5,31.0,13.0,31.0,7.0,
5922,1.8,0.68,3.6,19.0,12.0,26.0,6.2,
5923,1.7,0.64,2.9,16.0,12.0,25.0,6.1,
5924,1.7,0.5,2.9,18.0,15.0,25.0,9.3,
5925,1.3,0.32,14.0,27.0,16.0,15.0,3.2,
5926,1.6,0.6,7.3,32.0,8.0,15.0,22.0,
5927,1.6,0.54,2.7,30.0,11.0,12.0,20.0,
5928,2.5,0.55,3.2,27.0,14.0,14.0,19.0,
5929,2.0,0.29,5.8,32.0,4.0,15.0,3.6,
5930,2.5,0.21,7.1,31.0,6.0,12.0,4.3,
5931,2.4,0.18,11.0,28.0,4.0,10.0,4.0,
5932,2.7,0.21,6.4,25.0,8.0,12.0,4.0,
5933,3.1,0.36,12.0,24.0,8.0,12.0,11.0,
5934,2.7,0.29,24.0,31.0,14.0,12.0,9.4,
5935,2.4,0.19,30.0,41.0,16.0,8.3,6.6,
5936,2.2,0.15,37.0,39.0,13.0,5.4,5.0,
5937,2.3,0.15,40.0,46.0,13.0,5.0,4.7,
5938,2.5,0.15,42.0,44.0,10.0,5.1,4.6,
5939,2.2,0.15,43.0,48.0,11.0,5.3,4.8,
5940,2.4,0.17,45.0,52.0,16.0,6.7,4.7,
5941,2.7,0.22,48.0,49.0,16.0,12.0,4.7,
5942,2.2,0.26,33.0,52.0,15.0,11.0,4.1,
5943,2.1,0.22,33.0,52.0,20.0,8.2,4.1,
5944,2.3,0.23,30.0,43.0,18.0,10.0,4.8,
5945,2.2,0.27,23.0,45.0,15.0,12.0,4.5,
5946,2.2,0.28,12.0,54.0,12.0,19.0,4.2,
5947,2.3,0.23,16.0,48.0,16.0,11.0,3.9,
5948,1.8,0.2,17.0,36.0,16.0,10.0,0.8,
5949,1.7,0.2,16.0,37.0,11.0,10.0,0.8,
5950,1.9,0.18,16.0,35.0,10.0,10.0,0.6,
5951,1.7,0.17,19.0,34.0,4.0,9.1,0.7,
5952,1.9,0.18,19.0,35.0,4.0,8.1,0.9,
5953,1.9,0.25,21.0,33.0,4.0,9.5,2.8,
5954,1.9,0.24,24.0,28.0,6.0,8.8,3.7,
5955,1.7,0.19,30.0,23.0,12.0,7.2,2.7,
5956,1.8,0.2,37.0,28.0,19.0,7.8,2.9,
5957,1.5,0.19,42.0,28.0,13.0,7.6,2.3,
5958,1.7,0.17,46.0,30.0,15.0,7.1,2.1,
5959,1.8,0.17,47.0,34.0,4.0,7.2,1.9,
5960,1.8,0.17,46.0,36.0,17.0,7.6,2.0,
5961,2.0,0.25,29.0,30.0,4.0,13.0,0.9,
5962,2.1,0.23,27.0,23.0,6.0,11.0,0.7,
5963,2.1,0.23,27.0,23.0,6.0,11.0,0.7,
5964,2.0,0.23,26.0,35.0,6.0,11.0,0.7,
5965,2.0,0.23,26.0,37.0,6.0,10.0,1.0,
5966,2.2,0.21,28.0,37.0,5.0,9.1,0.8,
5967,2.4,0.18,29.0,26.0,5.0,8.0,0.9,
5968,2.8,0.17,29.0,15.0,8.0,7.7,0.7,
5969,1.5,0.15,30.0,15.0,6.0,7.0,1.3,
5970,1.5,0.16,30.0,17.0,4.0,6.6,1.2,
5971,1.7,0.15,30.0,27.0,2.0,6.5,1.0,
5972,1.5,0.14,30.0,19.0,2.0,6.1,1.1,
5973,1.5,0.14,31.0,19.0,6.0,5.8,1.1,
5974,1.7,0.17,30.0,19.0,9.0,7.5,1.3,
5975,1.6,0.23,31.0,35.0,8.0,8.8,2.1,
5976,1.5,0.22,33.0,40.0,9.0,8.7,3.2,
5977,1.5,0.21,37.0,41.0,10.0,9.7,4.0,
5978,1.5,0.21,44.0,34.0,8.0,8.2,3.1,
5979,1.6,0.21,47.0,33.0,8.0,8.1,2.5,
5980,1.3,0.22,48.0,30.0,3.0,8.1,2.3,
5981,1.4,0.2,48.0,27.0,9.0,7.8,2.5,
5982,1.4,0.19,45.0,21.0,6.0,8.2,2.4,
5983,1.3,0.21,42.0,19.0,14.0,8.1,2.2,
5984,1.4,0.22,38.0,21.0,6.0,9.2,1.8,
5985,1.5,0.27,31.0,26.0,8.0,14.0,2.1,
5986,1.5,0.27,31.0,29.0,2.0,13.0,1.9,
