,SO2,CO,O3,PM10,PM25,NO2,pr
318,5.8,0.31,48.0,44.0,12.0,23.7,
319,2.7,0.32,47.0,40.0,12.0,12.6,
320,4.8,0.33,45.0,38.0,11.0,24.4,
321,6.7,0.32,43.0,34.0,12.0,26.6,
322,4.1,0.31,43.0,32.0,13.0,12.9,
323,1.8,0.3,43.0,30.0,13.0,11.0,
324,2.3,0.29,44.0,29.0,13.0,14.9,
325,3.0,0.29,44.0,32.0,13.0,16.2,
326,2.1,0.27,48.0,37.0,12.0,9.8,
327,2.1,0.25,50.0,46.0,13.0,6.8,
328,2.3,0.24,55.0,56.0,13.0,6.5,
329,1.7,0.23,60.0,64.0,13.0,6.2,
330,1.8,0.23,62.0,68.0,12.0,7.6,
331,1.8,0.23,64.0,70.0,13.0,7.8,
332,1.8,0.23,66.0,72.0,13.0,8.1,
333,2.3,0.23,67.0,73.0,14.0,9.1,
334,1.6,0.24,67.0,73.0,13.0,8.6,
335,1.8,0.24,67.0,70.0,14.0,9.7,
336,2.7,0.25,66.0,67.0,14.0,12.6,
337,2.1,0.25,66.0,64.0,15.0,8.7,
338,1.8,0.25,66.0,60.0,15.0,7.7,
339,2.7,0.26,66.0,59.0,16.0,8.2,
340,4.1,0.27,66.0,56.0,16.0,12.8,
341,8.1,0.27,64.0,53.0,17.0,15.6,
342,6.4,0.26,62.0,51.0,18.0,16.4,
343,3.7,0.26,61.0,46.0,18.0,12.6,
344,4.4,0.26,59.0,42.0,18.0,16.4,
345,4.0,0.26,58.0,40.0,18.0,11.4,
346,3.4,0.25,56.0,38.0,17.0,14.0,
347,4.6,0.25,54.0,38.0,16.0,19.4,
348,3.5,0.26,52.0,40.0,17.0,14.9,
349,4.5,0.27,52.0,42.0,18.0,16.6,
350,3.7,0.28,52.0,44.0,19.0,12.4,
351,3.1,0.29,53.0,47.0,21.0,10.3,
352,2.7,0.3,54.0,53.0,22.0,8.2,
353,3.2,0.31,55.0,58.0,22.0,10.1,
354,2.9,0.32,56.0,60.0,22.0,11.1,
355,2.9,0.32,59.0,64.0,23.0,12.3,
356,2.9,0.32,62.0,66.0,24.0,11.7,
357,3.0,0.32,65.0,68.0,25.0,12.5,
358,3.1,0.32,68.0,69.0,25.0,12.1,
359,3.0,0.32,69.0,68.0,26.0,12.1,
